Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor
Falla,830,2025-01-13,9701,617.03,26.0,X12,ECC6.0,Error de autenticación,1169.51,AS2,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,EPICOR
Falla,850,2025-12-20,7133,504.58,,X12,S4HANA,,967.16,API,Legacy,Baja,Fallo en unidades de medida,Sí,No,SEEBURGER
Éxito,830,2025-03-27,15201,447.81,24.0,EDIFACT,SAP PI,Desincronización de reloj,1247.34,AS2,WEBEDI,Alta,Falta un campo mandatorio,Sí,Sí,LEGACY
Éxito,810,2025-02-07,3363,512.85,10.0,X12,R/3,Error de autenticación,1255.64,AS2,Legacy,Alta,Mal encoding,Sí,No,LEGACY
Falla,830,2025-03-09,19118,512.14,32.0,EDIFACT,ECC6.0,Formato inválido,1141.45,AS2,SAP,Alta,Documento parcialmente transmitido,No,Sí,EPICOR
Falla,862,2025-09-21,21010,453.68,3.0,X12,S4HANA,Timeout,1431.07,OFTP,SAP,Alta,Mal encoding,Sí,No,SIMTEL
Falla,862,2025-09-29,6212,,19.0,X12,R/3,,1671.61,FTPS,VAN,Media,Desincronización de reloj,No,Sí,LEGACY
Éxito,810,2025-07-18,32372,691.61,35.0,X12,ECC6.0,Error de autenticación,1336.41,API,Legacy,Baja,Error de autenticación,Sí,No,SIMTEL
Falla,830,2025-08-05,3958,375.68,27.0,X12,S4HANA,Formato inválido,1302.83,API,Legacy,Baja,Duplicado,No,Sí,LEGACY
Falla,850,2025-07-01,26086,378.06,25.0,X12,410,Desincronización de reloj,1648.66,AS2,SAP,Baja,Duplicado,Sí,No,LEGACY
Éxito,810,2025-03-07,12697,623.51,21.0,EDIFACT,S4HANA,Sin respuesta,1356.26,FTPS,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,LEGACY
Falla,862,2025-07-25,14340,578.84,2.0,X12,R/3,Desincronización de reloj,1230.57,AS2,Legacy,Alta,Certificado expirado,No,Sí,SEEBURGER
Éxito,810,2025-12-23,8200,667.08,20.0,X12,SAP PI,Error de autenticación,1128.46,AS2,SAP,Baja,Documento parcialmente transmitido,Sí,Sí,EPICOR
Éxito,830,2025-10-13,14668,689.03,23.0,EDIFACT,ECC6.0,Timeout,790.26,AS2,Legacy,Media,Formato no soportado,No,Sí,SIMTEL
Éxito,830,2025-05-04,9960,577.43,33.0,X12,410,Formato inválido,1443.73,AS2,Legacy,Media,Fallo en unidades de medida,No,Sí,SEEBURGER
Falla,830,2025-12-31,8658,385.37,,X12,ECC6.0,Error de autenticación,1498.91,API,SAP,Alta,Falta un campo mandatorio,No,Sí,LEGACY
Falla,856,2025-05-31,13554,535.57,37.0,EDIFACT,S4HANA,Timeout,910.78,API,SAP,Media,Falta un campo mandatorio,Sí,No,EPICOR
Éxito,830,2025-03-02,4215,465.23,42.0,EDIFACT,410,,1004.2,AS2,Legacy,Alta,Error de autenticación,No,Sí,VAN
Falla,862,2025-06-22,22431,550.18,30.0,EDIFACT,SAP PI,Error de autenticación,703.42,AS2,Legacy,Alta,Documento parcialmente transmitido,No,Sí,LEGACY
Éxito,862,2025-06-22,28718,,31.0,EDIFACT,ECC6.0,Sin respuesta,1071.82,SFTP,Legacy,Media,Falta un campo mandatorio,No,Sí,EPICOR
Falla,856,2025-10-30,8865,555.18,41.0,EDIFACT,ECC6.0,Timeout,1442.02,OFTP,WEBEDI,Baja,Fallo en unidades de medida,Sí,Sí,SAP
Éxito,862,2025-11-08,32618,573.5,18.0,EDIFACT,R/3,Timeout,1265.99,AS2,Legacy,Media,Mal encoding,No,Sí,SEEBURGER
Éxito,862,2025-11-12,16757,529.9,31.0,EDIFACT,S4HANA,Desincronización de reloj,1376.77,AS2,SAP,Alta,Fallo en unidades de medida,No,Sí,SIMTEL
Falla,810,2025-02-25,25104,543.8,26.0,EDIFACT,R/3,Sin respuesta,1048.72,API,Legacy,Baja,Desincronización de reloj,No,Sí,SAP
Falla,830,2025-01-24,13499,575.04,24.0,X12,410,Formato inválido,1000.15,API,Legacy,Alta,Certificado expirado,No,Sí,SAP
Falla,810,2025-02-07,25521,426.4,5.0,EDIFACT,ECC6.0,Desincronización de reloj,1438.64,FTPS,Legacy,Baja,Desincronización de reloj,No,Sí,EPICOR
Falla,810,2025-07-01,11084,532.54,,X12,410,,1127.62,AS2,Legacy,Baja,Duplicado,Sí,No,SIMTEL
Éxito,862,2025-08-18,25426,493.96,24.0,EDIFACT,SAP PI,Error de autenticación,1026.87,API,SAP,Media,Mal encoding,No,Sí,SIMTEL
Éxito,850,2025-07-29,10775,613.96,1.0,X12,SAP PI,Timeout,1224.83,FTPS,SAP,Alta,Duplicado,Sí,Sí,VAN
Falla,830,2025-11-19,26370,580.83,12.0,X12,R/3,Desincronización de reloj,889.06,API,Legacy,Alta,Desincronización de reloj,No,Sí,LEGACY
Falla,850,2025-08-19,13772,444.83,38.0,X12,R/3,Timeout,1382.08,API,SAP,Alta,Documento parcialmente transmitido,Sí,No,VAN
Éxito,862,2025-08-12,4336,572.36,23.0,X12,R/3,Sin respuesta,1097.19,OFTP,SAP,Media,Mal encoding,No,Sí,SAP
Falla,856,2025-05-29,9514,640.22,44.0,X12,ECC6.0,Timeout,925.2,AS2,SAP,Baja,Falta un campo mandatorio,Sí,No,EPICOR
Falla,810,2025-09-02,25840,542.41,25.0,X12,SAP PI,Desincronización de reloj,548.69,API,SAP,Media,Formato no soportado,No,Sí,SAP
Falla,862,2025-12-25,14740,469.4,12.0,EDIFACT,SAP PI,Error de autenticación,1115.16,AS2,WEBEDI,Baja,Falta un campo mandatorio,No,Sí,LEGACY
Falla,862,2025-03-10,31041,393.5,3.0,EDIFACT,,Desincronización de reloj,1126.78,AS2,SAP,Alta,Mal encoding,No,Sí,LEGACY
Éxito,850,2025-04-04,5706,303.38,24.0,EDIFACT,SAP PI,Formato inválido,1114.54,AS2,SAP,Baja,Error de autenticación,Sí,No,SAP
Éxito,856,2025-10-29,15354,611.87,26.0,X12,ECC6.0,Timeout,720.03,AS2,Legacy,Alta,Mal encoding,No,Sí,SIMTEL
Falla,810,2025-09-18,3655,364.99,15.0,EDIFACT,S4HANA,Desincronización de reloj,1268.08,API,SAP,Alta,Certificado expirado,No,Sí,SIMTEL
Éxito,856,2025-02-12,22993,398.49,31.0,EDIFACT,ECC6.0,Desincronización de reloj,1388.79,AS2,SAP,Alta,Formato no soportado,No,Sí,SIMTEL
Falla,856,2025-03-19,12037,510.41,43.0,EDIFACT,410,Error de autenticación,776.31,AS2,SAP,Alta,Desincronización de reloj,Sí,Sí,SEEBURGER
Falla,856,2025-01-04,5424,531.34,,EDIFACT,410,Timeout,1091.61,API,WEBEDI,Baja,Formato no soportado,No,Sí,VAN
Falla,830,2025-10-31,33059,647.14,21.0,X12,R/3,Timeout,863.95,API,Legacy,Media,Mal encoding,Sí,Sí,SAP
Éxito,856,2025-10-31,11547,536.88,21.0,X12,410,Formato inválido,1049.04,API,Legacy,Baja,Desincronización de reloj,No,Sí,LEGACY
Éxito,862,2025-07-09,23969,473.18,21.0,X12,R/3,Sin respuesta,785.7,API,SAP,Media,Mal encoding,No,Sí,SAP
Éxito,830,2025-12-12,8763,,48.0,X12,S4HANA,Sin respuesta,1456.54,SFTP,VAN,Alta,Falta un campo mandatorio,Sí,No,SIMTEL
Éxito,830,2025-11-29,5369,348.39,,EDIFACT,ECC6.0,Timeout,786.8,AS2,Legacy,Media,Duplicado,No,Sí,VAN
Éxito,856,2025-08-21,5291,644.11,12.0,EDIFACT,SAP PI,Desincronización de reloj,961.55,AS2,SAP,Media,Documento parcialmente transmitido,Sí,No,VAN
Falla,862,2025-07-14,12725,588.68,48.0,X12,410,,973.33,SFTP,VAN,Media,Falta un campo mandatorio,Sí,No,SAP
Falla,810,2025-06-14,26921,527.67,37.0,X12,S4HANA,Sin respuesta,1367.4,AS2,VAN,Baja,Mal encoding,No,Sí,LEGACY
Éxito,856,2025-08-13,27784,643.28,18.0,EDIFACT,ECC6.0,Desincronización de reloj,1422.48,API,Legacy,Alta,Desincronización de reloj,No,Sí,EPICOR
Éxito,830,2025-04-01,32299,,10.0,EDIFACT,S4HANA,Formato inválido,1316.84,AS2,Legacy,Media,Mal encoding,No,Sí,LEGACY
Éxito,810,2025-09-18,19892,553.95,6.0,EDIFACT,ECC6.0,Formato inválido,1020.56,API,WEBEDI,Media,Duplicado,Sí,No,LEGACY
Falla,810,2025-10-29,2774,496.66,29.0,EDIFACT,410,Timeout,612.95,API,Legacy,Media,Falta un campo mandatorio,Sí,Sí,SIMTEL
Éxito,830,2025-05-24,24758,503.79,29.0,X12,R/3,Sin respuesta,1046.51,API,Legacy,Baja,Falta un campo mandatorio,No,Sí,LEGACY
Falla,810,2025-02-19,30511,352.17,29.0,EDIFACT,ECC6.0,Desincronización de reloj,782.16,SFTP,VAN,Alta,Falta un campo mandatorio,Sí,No,VAN
Falla,862,2025-04-29,28181,607.32,46.0,X12,ECC6.0,Formato inválido,1181.64,AS2,SAP,Media,Error de autenticación,No,Sí,LEGACY
Éxito,862,2025-06-02,12660,480.36,46.0,X12,S4HANA,Desincronización de reloj,1236.51,API,Legacy,Alta,Error de autenticación,No,Sí,SIMTEL
Falla,856,2025-09-10,13935,606.59,9.0,EDIFACT,410,Timeout,758.11,AS2,SAP,Alta,Documento parcialmente transmitido,No,Sí,EPICOR
Falla,856,2025-06-24,30918,573.34,32.0,EDIFACT,S4HANA,Timeout,1463.78,OFTP,Legacy,Alta,Desincronización de reloj,Sí,No,LEGACY
Éxito,810,2025-01-25,14829,510.16,48.0,X12,R/3,Formato inválido,1404.96,AS2,Legacy,Alta,Formato no soportado,Sí,Sí,SEEBURGER
Falla,830,2025-10-16,16204,584.11,13.0,EDIFACT,,Sin respuesta,1165.34,OFTP,Legacy,Alta,Desincronización de reloj,Sí,Sí,SIMTEL
Éxito,862,2025-09-23,24737,422.04,46.0,X12,S4HANA,Desincronización de reloj,1284.85,AS2,Legacy,Media,Formato no soportado,No,Sí,SAP
Falla,850,2025-09-26,10905,352.59,11.0,X12,SAP PI,Sin respuesta,1574.46,FTPS,SAP,Alta,Mal encoding,No,Sí,LEGACY
Éxito,856,2025-10-24,9312,484.84,34.0,EDIFACT,S4HANA,Formato inválido,1082.05,AS2,Legacy,Media,Duplicado,No,Sí,SAP
Éxito,862,2025-09-18,11988,543.82,29.0,X12,ECC6.0,Timeout,1518.67,SFTP,Legacy,Alta,Fallo en unidades de medida,Sí,Sí,SEEBURGER
Falla,810,2025-08-07,11890,585.95,12.0,EDIFACT,R/3,Timeout,1147.9,API,Legacy,Baja,Duplicado,No,Sí,EPICOR
Éxito,862,2025-05-27,30886,509.29,49.0,EDIFACT,SAP PI,Formato inválido,813.55,AS2,Legacy,Alta,Duplicado,No,Sí,SEEBURGER
Falla,862,2025-06-15,29361,409.87,31.0,EDIFACT,SAP PI,Timeout,1114.75,FTPS,Legacy,Alta,Error de autenticación,No,Sí,EPICOR
Falla,810,2025-07-16,3765,,41.0,EDIFACT,S4HANA,Error de autenticación,1329.01,API,SAP,Baja,Documento parcialmente transmitido,Sí,No,LEGACY
Éxito,856,2025-06-13,16866,464.22,22.0,EDIFACT,R/3,Timeout,1046.97,AS2,SAP,Alta,Error de autenticación,Sí,Sí,LEGACY
Falla,856,2025-04-02,32890,538.74,26.0,X12,S4HANA,Error de autenticación,1892.91,AS2,Legacy,Alta,Desincronización de reloj,No,Sí,VAN
Éxito,850,2025-03-15,16697,550.42,43.0,EDIFACT,SAP PI,Error de autenticación,1498.93,SFTP,SAP,Alta,Error de autenticación,No,Sí,SIMTEL
Falla,850,2025-01-22,19495,506.93,12.0,X12,R/3,Error de autenticación,1514.2,FTPS,WEBEDI,Media,Certificado expirado,Sí,No,SEEBURGER
Falla,856,2025-04-18,11111,305.74,35.0,X12,S4HANA,Sin respuesta,1904.01,API,Legacy,Baja,Falta un campo mandatorio,Sí,No,SIMTEL
Éxito,856,2025-08-09,19671,432.81,49.0,X12,ECC6.0,Formato inválido,1175.18,FTPS,Legacy,Alta,Falta un campo mandatorio,No,Sí,SAP
Falla,856,2025-09-23,22284,546.66,38.0,X12,R/3,Formato inválido,1096.47,AS2,Legacy,Alta,Falta un campo mandatorio,Sí,Sí,SEEBURGER
Falla,856,2025-05-23,15370,657.36,4.0,X12,ECC6.0,Formato inválido,1457.94,AS2,Legacy,Media,Error de autenticación,Sí,No,SEEBURGER
Falla,862,2025-10-22,21367,567.83,45.0,X12,R/3,Error de autenticación,1239.01,API,SAP,Media,Formato no soportado,Sí,Sí,EPICOR
Falla,850,2025-11-12,24431,548.63,49.0,EDIFACT,SAP PI,Error de autenticación,1002.51,OFTP,SAP,Media,Formato no soportado,Sí,Sí,SEEBURGER
Falla,810,2025-06-10,11570,301.13,10.0,X12,R/3,Error de autenticación,1073.38,API,SAP,Baja,Error de autenticación,No,Sí,LEGACY
Falla,830,2025-02-20,12600,605.69,18.0,X12,ECC6.0,Timeout,633.83,AS2,SAP,Baja,Falta un campo mandatorio,No,Sí,VAN
Falla,810,2025-06-27,17687,,46.0,EDIFACT,S4HANA,Desincronización de reloj,1329.65,AS2,Legacy,Baja,Falta un campo mandatorio,Sí,No,EPICOR
Falla,830,2025-05-26,10072,556.97,48.0,X12,SAP PI,Desincronización de reloj,1431.51,API,SAP,Alta,Duplicado,No,Sí,SIMTEL
Éxito,862,2025-03-26,24480,526.99,19.0,EDIFACT,ECC6.0,Timeout,1717.67,SFTP,SAP,Media,Error de autenticación,No,Sí,SEEBURGER
Falla,850,2025-03-02,12993,550.55,15.0,X12,410,Desincronización de reloj,1618.04,AS2,WEBEDI,Baja,Formato no soportado,Sí,No,EPICOR
Falla,830,2025-05-28,18578,622.8,23.0,X12,R/3,Desincronización de reloj,1775.87,AS2,Legacy,Alta,Documento parcialmente transmitido,Sí,Sí,EPICOR
Éxito,856,2025-05-21,29653,494.72,23.0,X12,410,Sin respuesta,1223.34,AS2,Legacy,Alta,Falta un campo mandatorio,No,Sí,VAN
Éxito,862,2025-09-07,31791,537.68,21.0,EDIFACT,,,1293.45,API,Legacy,Media,Fallo en unidades de medida,Sí,Sí,LEGACY
Éxito,830,2025-08-13,15981,469.34,,EDIFACT,,Timeout,1066.29,AS2,Legacy,Alta,Formato no soportado,No,Sí,SIMTEL
Falla,856,2025-04-25,30222,501.57,45.0,X12,ECC6.0,Error de autenticación,1207.35,API,SAP,Media,Mal encoding,Sí,No,SIMTEL
Éxito,862,2025-03-28,27524,511.46,34.0,X12,SAP PI,Sin respuesta,1310.59,SFTP,Legacy,Media,Duplicado,No,Sí,LEGACY
Éxito,830,2025-05-28,33344,561.3,41.0,EDIFACT,S4HANA,Desincronización de reloj,1345.62,FTPS,Legacy,Alta,Duplicado,Sí,Sí,LEGACY
Falla,856,2025-05-13,12083,450.26,13.0,EDIFACT,,Timeout,978.36,API,SAP,Media,Error de autenticación,Sí,Sí,SEEBURGER
Falla,850,2025-11-07,24910,488.07,25.0,X12,R/3,Formato inválido,1266.86,FTPS,Legacy,Alta,Falta un campo mandatorio,Sí,Sí,EPICOR
Éxito,862,2025-02-24,19640,533.15,44.0,X12,SAP PI,Formato inválido,840.52,OFTP,WEBEDI,Alta,Mal encoding,Sí,No,SIMTEL
Éxito,830,2025-04-29,8534,487.1,33.0,EDIFACT,410,Sin respuesta,1358.3,AS2,SAP,Baja,Fallo en unidades de medida,No,Sí,SAP
Falla,856,2025-12-08,25578,515.64,28.0,X12,SAP PI,Formato inválido,1393.51,API,SAP,Media,Falta un campo mandatorio,Sí,Sí,LEGACY
Falla,850,2025-05-23,29161,380.96,13.0,X12,410,Timeout,1530.33,FTPS,VAN,Media,Formato no soportado,Sí,Sí,VAN
Falla,856,2025-03-14,27956,555.05,27.0,EDIFACT,SAP PI,Formato inválido,1061.2,API,SAP,Baja,Documento parcialmente transmitido,No,Sí,SAP
Falla,850,2025-02-19,28886,439.12,8.0,EDIFACT,S4HANA,Formato inválido,1712.75,AS2,WEBEDI,Alta,Formato no soportado,Sí,Sí,SIMTEL
Falla,830,2025-04-16,2348,362.03,36.0,X12,R/3,Desincronización de reloj,758.52,API,VAN,Media,Duplicado,Sí,No,SAP
Éxito,856,2025-10-10,12664,528.91,43.0,EDIFACT,S4HANA,Timeout,958.78,SFTP,SAP,Alta,Desincronización de reloj,Sí,Sí,SIMTEL
Falla,856,2025-09-18,21946,533.76,6.0,X12,S4HANA,Timeout,1605.76,AS2,SAP,Media,Documento parcialmente transmitido,Sí,No,LEGACY
Falla,810,2025-03-28,19080,543.53,13.0,EDIFACT,,,1083.74,API,SAP,Alta,Falta un campo mandatorio,No,Sí,SEEBURGER
Falla,862,2025-01-15,11205,545.02,20.0,X12,410,Error de autenticación,1431.19,AS2,SAP,Alta,Formato no soportado,Sí,No,VAN
Falla,856,2025-11-03,13595,542.29,5.0,X12,,Timeout,1258.41,SFTP,VAN,Alta,Mal encoding,No,Sí,SIMTEL
Falla,850,2025-01-21,23363,646.84,45.0,EDIFACT,410,Desincronización de reloj,1224.23,AS2,VAN,Baja,Mal encoding,No,Sí,SEEBURGER
Éxito,862,2025-10-04,33350,583.55,27.0,X12,ECC6.0,Formato inválido,1695.74,FTPS,Legacy,Media,Desincronización de reloj,No,Sí,SIMTEL
Falla,830,2025-10-03,7833,593.85,49.0,EDIFACT,R/3,Formato inválido,805.1,SFTP,SAP,Media,Duplicado,Sí,Sí,VAN
Éxito,862,2025-04-10,26039,557.31,,X12,410,Formato inválido,1375.81,AS2,SAP,Alta,Formato no soportado,Sí,No,EPICOR
Falla,810,2025-01-04,7149,586.58,1.0,EDIFACT,ECC6.0,Timeout,1072.32,AS2,SAP,Baja,Duplicado,Sí,No,LEGACY
Éxito,830,2025-09-08,33294,457.03,4.0,EDIFACT,R/3,Timeout,1266.42,API,Legacy,Alta,Falta un campo mandatorio,No,Sí,LEGACY
Éxito,856,2025-01-14,21205,564.86,2.0,EDIFACT,410,Sin respuesta,938.89,AS2,SAP,Baja,Fallo en unidades de medida,Sí,No,EPICOR
Falla,830,2025-07-09,20342,616.25,44.0,EDIFACT,S4HANA,Sin respuesta,1213.06,SFTP,Legacy,Media,Documento parcialmente transmitido,Sí,No,SIMTEL
Falla,830,2025-04-15,29539,478.99,26.0,EDIFACT,R/3,Sin respuesta,1378.82,AS2,WEBEDI,Baja,Certificado expirado,No,Sí,LEGACY
Falla,810,2025-05-25,4951,637.49,33.0,EDIFACT,R/3,Error de autenticación,1499.17,SFTP,WEBEDI,Alta,Desincronización de reloj,Sí,No,SIMTEL
Falla,850,2025-10-20,9919,466.4,44.0,EDIFACT,SAP PI,Sin respuesta,1135.72,SFTP,Legacy,Alta,Falta un campo mandatorio,No,Sí,SIMTEL
Falla,830,2025-08-07,17451,547.39,45.0,EDIFACT,R/3,Desincronización de reloj,996.45,API,SAP,Alta,Certificado expirado,Sí,Sí,SAP
Éxito,850,2025-08-16,3308,398.75,38.0,EDIFACT,SAP PI,Timeout,981.77,AS2,WEBEDI,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER
Falla,862,2025-09-24,14001,580.21,7.0,EDIFACT,ECC6.0,Error de autenticación,1558.64,SFTP,SAP,Media,Formato no soportado,Sí,No,SIMTEL
Falla,810,2025-03-06,33225,622.51,29.0,EDIFACT,,Desincronización de reloj,1188.16,AS2,WEBEDI,Alta,Duplicado,No,Sí,LEGACY
Éxito,856,2025-08-21,17206,497.47,5.0,EDIFACT,410,Formato inválido,1076.06,SFTP,Legacy,Baja,Documento parcialmente transmitido,Sí,Sí,SAP
Falla,830,2025-06-01,1919,366.9,9.0,EDIFACT,R/3,Sin respuesta,1436.53,API,Legacy,Alta,Desincronización de reloj,No,Sí,EPICOR
Éxito,850,2025-02-26,17623,503.67,13.0,EDIFACT,R/3,Sin respuesta,1212.83,AS2,VAN,Alta,Fallo en unidades de medida,Sí,No,VAN
Falla,830,2025-12-28,27952,411.51,46.0,X12,410,Timeout,983.72,FTPS,Legacy,Alta,Formato no soportado,Sí,No,SIMTEL
Éxito,810,2025-03-03,4656,509.2,40.0,X12,R/3,Desincronización de reloj,1146.31,OFTP,WEBEDI,Baja,Mal encoding,No,Sí,SIMTEL
Falla,856,2025-08-16,10611,583.57,48.0,X12,SAP PI,Desincronización de reloj,1186.85,FTPS,SAP,Baja,Mal encoding,No,Sí,VAN
Éxito,862,2025-08-10,25249,547.23,46.0,X12,410,Sin respuesta,522.61,AS2,SAP,Media,Desincronización de reloj,Sí,No,SEEBURGER
Éxito,862,2025-09-10,30949,344.79,29.0,EDIFACT,S4HANA,Sin respuesta,1073.96,FTPS,SAP,Media,Mal encoding,No,Sí,SIMTEL
Falla,850,2025-05-15,30131,467.47,18.0,X12,R/3,Desincronización de reloj,822.27,API,VAN,Baja,Mal encoding,Sí,No,LEGACY
Falla,862,2025-02-14,31726,520.62,30.0,X12,R/3,Desincronización de reloj,1397.51,API,SAP,Alta,Duplicado,Sí,No,SIMTEL
Falla,850,2025-03-12,32441,638.54,10.0,EDIFACT,SAP PI,Formato inválido,1252.7,API,Legacy,Alta,Falta un campo mandatorio,Sí,No,SEEBURGER
Éxito,856,2025-05-23,21703,485.23,19.0,EDIFACT,410,Sin respuesta,1193.6,AS2,Legacy,Media,Desincronización de reloj,Sí,No,SAP
Éxito,830,2025-12-09,13964,549.78,48.0,EDIFACT,R/3,Sin respuesta,1683.74,AS2,Legacy,Media,Fallo en unidades de medida,Sí,Sí,VAN
Éxito,810,2025-03-01,4132,517.61,,X12,SAP PI,,1399.69,AS2,Legacy,Alta,Fallo en unidades de medida,No,Sí,LEGACY
Falla,856,2025-07-01,21559,441.3,21.0,X12,S4HANA,Timeout,713.16,SFTP,VAN,Media,Fallo en unidades de medida,No,Sí,SEEBURGER
Falla,856,2025-02-10,27422,454.62,1.0,X12,S4HANA,Desincronización de reloj,1130.2,AS2,VAN,Baja,Error de autenticación,Sí,No,LEGACY
Éxito,862,2025-04-24,6131,480.87,41.0,X12,SAP PI,Sin respuesta,1195.59,AS2,WEBEDI,Baja,Formato no soportado,Sí,No,EPICOR
Falla,862,2025-02-08,8369,627.21,26.0,EDIFACT,410,Formato inválido,1502.34,AS2,VAN,Alta,Fallo en unidades de medida,Sí,Sí,LEGACY
Éxito,810,2025-06-17,7014,422.25,14.0,X12,R/3,Sin respuesta,1319.27,FTPS,Legacy,Media,Formato no soportado,No,Sí,SIMTEL
Falla,830,2025-03-22,3330,482.01,39.0,X12,SAP PI,Error de autenticación,1294.56,API,SAP,Baja,Desincronización de reloj,No,Sí,EPICOR
Falla,856,2025-09-17,11356,440.05,29.0,X12,SAP PI,Sin respuesta,1376.51,AS2,SAP,Baja,Duplicado,No,Sí,EPICOR
Éxito,862,2025-06-21,17431,630.51,43.0,X12,SAP PI,Sin respuesta,507.09,OFTP,SAP,Baja,Falta un campo mandatorio,No,Sí,SEEBURGER
Falla,856,2025-05-22,14112,538.37,7.0,X12,ECC6.0,Sin respuesta,856.93,AS2,VAN,Media,Formato no soportado,No,Sí,VAN
Falla,830,2025-08-21,26161,637.07,24.0,EDIFACT,S4HANA,Desincronización de reloj,1525.22,API,Legacy,Media,Duplicado,Sí,No,SAP
Falla,850,2025-11-19,33240,233.4,27.0,EDIFACT,ECC6.0,Timeout,1146.96,AS2,SAP,Alta,Mal encoding,No,Sí,VAN
Falla,830,2025-09-20,5313,592.78,42.0,EDIFACT,SAP PI,Sin respuesta,960.88,AS2,Legacy,Alta,Certificado expirado,No,Sí,EPICOR
Falla,856,2025-12-11,18771,410.02,2.0,X12,S4HANA,Sin respuesta,1210.9,API,SAP,Alta,Duplicado,Sí,Sí,SAP
Éxito,856,2025-02-07,25479,441.02,2.0,X12,R/3,Sin respuesta,1616.7,API,SAP,Baja,Formato no soportado,Sí,No,SIMTEL
Falla,810,2025-12-28,13032,481.06,16.0,EDIFACT,R/3,Sin respuesta,1155.47,OFTP,SAP,Media,Formato no soportado,Sí,No,VAN
Éxito,856,2025-12-19,30284,498.13,,X12,ECC6.0,Sin respuesta,1450.62,API,SAP,Baja,Fallo en unidades de medida,No,Sí,EPICOR
Falla,862,2025-06-11,28752,498.31,,EDIFACT,ECC6.0,Formato inválido,907.27,API,Legacy,Alta,Falta un campo mandatorio,No,Sí,LEGACY
Falla,810,2025-01-20,14737,428.94,26.0,EDIFACT,S4HANA,Desincronización de reloj,1417.75,AS2,Legacy,Baja,Formato no soportado,No,Sí,LEGACY
Éxito,856,2025-08-10,20682,489.52,10.0,X12,R/3,Desincronización de reloj,840.93,SFTP,SAP,Media,Desincronización de reloj,Sí,No,SEEBURGER
Éxito,830,2025-02-21,31594,490.48,15.0,X12,ECC6.0,Sin respuesta,305.11,FTPS,WEBEDI,Media,Falta un campo mandatorio,No,Sí,SAP
Falla,856,2025-12-28,5648,334.73,48.0,EDIFACT,SAP PI,Formato inválido,1734.43,API,Legacy,Media,Fallo en unidades de medida,No,Sí,SAP
Falla,830,2025-09-24,20016,534.43,25.0,EDIFACT,SAP PI,Error de autenticación,1138.77,AS2,SAP,Baja,Fallo en unidades de medida,No,Sí,SIMTEL
Éxito,830,2025-06-12,29771,501.35,4.0,X12,ECC6.0,Error de autenticación,1788.18,AS2,Legacy,Alta,Falta un campo mandatorio,Sí,Sí,LEGACY
Éxito,856,2025-04-08,4260,519.22,26.0,X12,410,Formato inválido,1308.25,FTPS,Legacy,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER
Éxito,830,2025-10-13,12471,450.26,23.0,EDIFACT,ECC6.0,Error de autenticación,1245.21,API,VAN,Baja,Mal encoding,No,Sí,LEGACY
Éxito,850,2025-12-05,26817,502.54,37.0,X12,410,Desincronización de reloj,667.74,AS2,WEBEDI,Baja,Documento parcialmente transmitido,Sí,Sí,SEEBURGER
Falla,810,2025-11-17,4377,283.12,49.0,EDIFACT,R/3,Error de autenticación,1292.65,AS2,SAP,Baja,Documento parcialmente transmitido,No,Sí,SIMTEL
Falla,856,2025-01-19,14213,446.12,42.0,EDIFACT,ECC6.0,Sin respuesta,1887.38,API,SAP,Baja,Desincronización de reloj,No,Sí,SAP
Falla,850,2025-11-21,14833,455.12,4.0,X12,R/3,Timeout,1356.51,API,Legacy,Media,Falta un campo mandatorio,Sí,Sí,SAP
Falla,830,2025-11-18,11404,494.99,1.0,EDIFACT,ECC6.0,Formato inválido,1770.87,AS2,Legacy,Baja,Mal encoding,No,Sí,EPICOR
Falla,830,2025-01-05,17940,497.01,1.0,X12,ECC6.0,Timeout,1491.36,AS2,SAP,Alta,Documento parcialmente transmitido,No,Sí,SIMTEL
Éxito,810,2025-05-06,4863,595.39,39.0,EDIFACT,SAP PI,Formato inválido,1312.75,OFTP,Legacy,Baja,Duplicado,No,Sí,SAP
Éxito,850,2025-03-12,12552,388.8,3.0,X12,SAP PI,Formato inválido,478.62,AS2,SAP,Media,Falta un campo mandatorio,No,Sí,LEGACY
Éxito,850,2025-10-28,26883,572.07,48.0,X12,410,Formato inválido,726.23,OFTP,Legacy,Alta,Formato no soportado,No,Sí,EPICOR
Falla,856,2025-07-12,20941,700.34,48.0,X12,R/3,Desincronización de reloj,1146.26,AS2,SAP,Baja,Fallo en unidades de medida,No,Sí,SAP
Éxito,830,2025-04-23,22635,451.21,15.0,X12,S4HANA,Desincronización de reloj,1530.6,AS2,Legacy,Media,Documento parcialmente transmitido,No,Sí,LEGACY
Falla,862,2025-12-11,10699,573.29,43.0,EDIFACT,410,Formato inválido,1189.17,SFTP,Legacy,Baja,Fallo en unidades de medida,Sí,Sí,VAN
